Commodity,Unit,Min Price,Max Price,Avg Price,Date
गोलभेडा ठूलो(भारतीय),केजी,रू ८०.००,रू ९०.००,रू ८५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गोलभेडा सानो(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गोलभेडा सानो(टनेल),के जी,रू ९०.००,रू ११०.००,रू १००.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गोलभेडा सानो(भारतीय),के जी,रू ६०.००,रू ८०.००,रू ६८.७५,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
आलु रातो,के.जी.,रू ८५.००,रू ९०.००,रू ८७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
आलु रातो(भारतीय),के जी,रू ६०.००,रू ६२.००,रू ६१.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
आलु सेतो,के.जी.,रू ६५.००,रू ७०.००,रू ६७.६७,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
प्याज सुकेको (भारतीय),के.जी.,रू १०५.००,रू १०८.००,रू १०६.५०,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गाजर(लोकल),के.जी.,रू १५०.००,रू १६०.००,रू १५५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
गाजर(तराई),केजी,रू १००.००,रू १२०.००,रू ११०.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
बन्दा(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
बन्दा(तराई),केजी,रू ३०.००,रू ४५.००,रू ३८.३३,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
काउली स्थानिय,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
काउली तराई,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
मूला रातो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,"दैनिक मूल्य बारे जानकारी - वि.सं. कार्तिक १९, २०८१"
